user_query,ground_truth
"""Find the ID of the part named 'MainServer' in our system.""","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""MainServer""}]}]"
"Generate tasks from the following text: ""Schedule quarterly review meeting and prepare financial report for Q2.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Schedule quarterly review meeting and prepare financial report for Q2.""}]}]"
"""List all low-severity tickets from the web channel created by User345.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]},{""argument_name"": ""ticket.severity"", ""argument_value"": [""low""]}, {""argument_name"": ""ticket.source_channel"", ""argument_value"": [""web""]}, {""argument_name"": ""created_by"", ""argument_value"": [""User345""]}]}]"
"""List all P2 priority issues in the 'user testing' stage for the 'Mobile App' part.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""issue""]}, {""argument_name"": ""issue.priority"", ""argument_value"": [""p2""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""user testing""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Mobile App""]}]}]"
"""List all blocker severity tickets in the 'production' stage owned by User789.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""ticket.severity"", ""argument_value"": [""blocker""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""production""]}, {""argument_name"": ""owned_by"", ""argument_value"": [""User789""]}]}]"
"""Create tasks from the text: 'Organize annual review and update training materials'.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Organize annual review and update training materials""}]}]"
"""Convert the following text into actionable tasks: 'Review code quality and update documentation.'""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Review code quality and update documentation""}]}]"
"""Find the ID of 'BudgetPlanningTool' in our software suite.""","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""BudgetPlanningTool""}]}]"
List all P2 issues in the 'development' stage that need a response.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""issue""]}, {""argument_name"": ""issue.priority"", ""argument_value"": [""p2""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""development""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}]}]"
"Retrieve and summarize all tickets related to the part ""Epsilon Program"" that are of medium severity.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""medium""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Epsilon Program""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}]"
"Identify all tickets in the ""Deployment"" stage owned by User222 which are high severity.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""owned_by"", ""argument_value"": [""User222""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""Deployment""]}, {""argument_name"": ""ticket.severity"", ""argument_value"": [""high""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}]"
"Generate tasks from the following text: ""Review quarterly sales data and update market strategy.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Review quarterly sales data and update market strategy.""}]}]"
"Generate tasks from the following text: ""Implement new CRM system and train staff on usage.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Implement new CRM system and train staff on usage.""}]}]"
"""Create tasks from the text: 'Schedule meeting with team and update project roadmap'.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Schedule meeting with team and update project roadmap""}]}]"
"List and summarize all blocker severity ticketsfor the ""Beta Initiative.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""blocker""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Beta Initiative""]}, {""argument_name"": ""type"", ""argument_value"": [""issue""]}]}]"
"""Create tasks from the following text: 'Organize client feedback sessions and update the FAQ section.'""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Organize client feedback sessions and update the FAQ section""}]}]"
Retrieve all tasks related to Part432 that are in the 'design' stage and need a response.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""task""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""design""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Part432""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}]}]"
"""Find the ID of 'InventoryManagementSystem' in our technology stack.""","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""InventoryManagementSystem""}]}]"
"""Create tasks from this text: 'Implement new customer service protocols and update training manuals.'""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Implement new customer service protocols and update training manuals""}]}]"
"Identify all tickets in the ""Testing and Validation"" stage owned by User333 which are low severity.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""owned_by"", ""argument_value"": [""User333""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""Testing and Validation""]}, {""argument_name"": ""ticket.severity"", ""argument_value"": [""low""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}]"
"""Create tasks from this text: 'Redesign website interface and optimize for mobile users.'""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Redesign website interface and optimize for mobile users""}]}]"
"""Create a list of tasks from the strategy document: 'Expand into new markets and optimize supply chain'.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Expand into new markets and optimize supply chain""}]}]"
"""Find all blocker severity tickets from 'CyberSecurity', which need a response.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""blocker""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""CyberSecurity""]}, { ""argument_name"": ""type"", ""argument_value"": [""ticket""] }, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}]}]"
"Generate tasks from the following text: ""Organize annual team building event and update team contact list.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Organize annual team building event and update team contact list.""}]}]"
"""List all p0 priority issues in the part 'CustomerEngagement'.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""issue.priority"", ""argument_value"": [""p0""]}, {""argument_name"": ""type"", ""argument_value"": [""issue""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""CustomerEngagement""]}]}]"
"""What is my user ID?""","[{""tool_name"": ""who_am_i"", ""arguments"": []}]"
"""Create tasks from this text: 'Revise marketing strategy and update social media guidelines.'""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Revise marketing strategy and update social media guidelines""}]}]"
"""Create actionable tasks from the text: 'Update server security protocols and conduct team training.'""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Update server security protocols and conduct team training""}]}]"
"""Create tasks from the project plan: 'Deploy new software version and conduct training'.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Deploy new software version and conduct training""}]}]"
"Generate tasks from the following text: ""Review annual budget and plan team training sessions.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Review annual budget and plan team training sessions.""}]}]"
"""List all p2 priority issues owned by User234 in the design stage.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""issue""]},{""argument_name"": ""issue.priority"", ""argument_value"": [""p2""]}, {""argument_name"": ""owned_by"", ""argument_value"": [""User234""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""design""]}]}]"
"Generate tasks from the following text: ""Need to update software version and review security protocols.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Need to update software version and review security protocols.""}]}]"
"List all P1 priority issues in the ""Client Onboarding"" process.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""issue.priority"", ""argument_value"": [""p1""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Client Onboarding""]}, {""argument_name"": ""type"", ""argument_value"": [""task""]}]}]"
"Find all tasks associated with the part ""Omega Project"" in the testing stage.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""applies_to_part"", ""argument_value"": [""Omega Project""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""testing""]}, {""argument_name"": ""type"", ""argument_value"": [""task""]}]}]"
"""List all P0 priority issues in the 'deployment' stage owned by User567.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""issue.priority"", ""argument_value"": [""p0""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""deployment""]}, {""argument_name"": ""owned_by"", ""argument_value"": [""User567""]}]}]"
"""Find the ID of a customer named 'GlobalCorp' in our system.""","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""GlobalCorp""}]}]"
"List all P3 priority issues related to part ""Project Orion"" and which are in the triage stage.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""issue.priority"", ""argument_value"": [""p3""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Project Orion""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""triage""]}, {""argument_name"": ""type"", ""argument_value"": [""issue""]}]}]"
Create actionable tasks from the summary of meeting notes about Project Beta.,"[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Summary of meeting notes about Project Beta""}]}]"
"""Find all medium priority tickets in the part 'SoftwareDevelopment',which need a response.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""medium""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""SoftwareDevelopment""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}]}]"
"""Find the ID of 'CustomerInteractionTool' in our tracking system.""","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""CustomerInteractionTool""}]}]"
Summarize the p0 priority issues from the sales rev org.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""issue.priority"", ""argument_value"": [""p0""]}, {""argument_name"": ""type"", ""argument_value"": [""issue""]}, {""argument_name"": ""issue.rev_orgs"", ""argument_value"": [""sales""]}, {""argument_name"": ""type"", ""argument_value"": [""issue""]}]}]"
"""Summarize all medium severity tickets in the finance stage for part 'Budget-2023'.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]},{""argument_name"": ""ticket.severity"", ""argument_value"": ""medium""}, {""argument_name"": ""stage.name"", ""argument_value"": ""finance""}, {""argument_name"": ""applies_to_part"", ""argument_value"": ""Budget-2023""}]}]"
"""Search for an employee named Emily Smith and list all her tasks.""","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""Emily Smith""}]}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""task""]},{""argument_name"": ""owned_by"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Identify the current user and list all their tasks in the planning stage.""","[{""tool_name"": ""who_am_i"", ""arguments"": []}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""task""]},{""argument_name"": ""stage.name"", ""argument_value"": ""planning""}, {""argument_name"": ""owned_by"", ""argument_value"": ""$$PREV[0]""}]}]"
"Prioritize all low severity tickets coming from the ""Phone Support"" channel.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""low""]}, {""argument_name"": ""ticket.source_channel"", ""argument_value"": [""Phone Support""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""List all P3 priority issues from the HR rev organization and generate a summary.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""issue""]},{""argument_name"": ""issue.priority"", ""argument_value"": ""p3""}, {""argument_name"": ""issue.rev_orgs"", ""argument_value"": ""HR""}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Identify similar tasks to 'TASK-789' in the system and provide a summary.""","[{""tool_name"": ""get_similar_work_items"", ""arguments"": [{""argument_name"": ""work_id"", ""argument_value"": ""TASK-789""}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Summarize all tasks under the part 'MarketingCampaign' in the 'Planning' stage.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""stage.name"", ""argument_value"": [""Planning""]}, {""argument_name"": ""type"", ""argument_value"": [""task""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""MarketingCampaign""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
Get all tickets from the 'email' channel with medium severity and summarize their key points.,"[ { ""tool_name"": ""works_list"", ""arguments"": [ { ""argument_name"": ""ticket.source_channel"", ""argument_value"": [""email""] }, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}, { ""argument_name"": ""ticket.severity"", ""argument_value"": [""medium""] } ] }, { ""tool_name"": ""summarize_objects"", ""arguments"": [ { ""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]"" } ] } ]"
"""Prioritize all tasks in the 'Deployment' phase for the 'Mobile App' part.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""task""]},{""argument_name"": ""stage.name"", ""argument_value"": [""Deployment""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Mobile App""]}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"Retrieve and prioritize all tasks in the ""User Experience"" stage for the part ""Project Phoenix.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""stage.name"", ""argument_value"": [""User Experience""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Project Phoenix""]}, {""argument_name"": ""type"", ""argument_value"": [""task""]}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
Find the ID for 'Sprint Gamma' and add tasks TASK-666 and TASK-777 to it.,"[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""Sprint Gamma""}]}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": [""TASK-666"", ""TASK-777""]}, {""argument_name"": ""sprint_id"", ""argument_value"": ""$$PREV[0]""}]}]"
"List and prioritize all medium severity tickets in the ""Planning"" stage for the part ""Epsilon Effort.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""medium""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""Planning""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Epsilon Effort""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]
"
"""Summarize all P1 priority issues assigned to User456 in the development stage.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""issue""]},{""argument_name"": ""issue.priority"", ""argument_value"": [""p1""]}, {""argument_name"": ""owned_by"", ""argument_name"": [""User456""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""development""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Retrieve and summarize all low severity tickets from part 'NetworkSecurity'.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""low""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""NetworkSecurity""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Summarize tasks from 'Project Management' part in the 'Planning' stage.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""task""]},{""argument_name"": ""stage.name"", ""argument_value"": [""Planning""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Project Management""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Retrieve all medium-severity tickets from the engineering rev organization and prioritize them.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": ""medium""}, {""argument_name"": ""ticket.rev_orgs"", ""argument_value"": ""engineering""}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
Identify all tasks in the 'development' stage for Part102 and assign them to Sprint456.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""task""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""development""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Part102""]}]}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""$$PREV[0]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""Sprint456""}]}]"
"List and summarize all tasks owned by User456 in the ""Quality Assurance"" stage.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""owned_by"", ""argument_value"": [""User456""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""Quality Assurance""]}, {""argument_name"": ""type"", ""argument_value"": [""task""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Prioritize all 'medium' severity tickets from the 'Quality Assurance' rev organization.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]},{""argument_name"": ""ticket.severity"", ""argument_value"": [""medium""]}, {""argument_name"": ""ticket.rev_orgs"", ""argument_value"": [""Quality Assurance""]}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Create tasks from the insights in the summary of the 'Customer Service Improvement' project's issues.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""issue""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Customer Service Improvement""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}, {""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""$$PREV[1]""}]}]"
"Retrieve and summarize all high severity tickets related to part ""Project Artemis.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""high""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Project Artemis""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Find all low severity tickets in the 'sales' rev organization and create a summary.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]},{""argument_name"": ""ticket.severity"", ""argument_value"": ""low""}, {""argument_name"": ""ticket.rev_orgs"", ""argument_value"": ""sales""}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
List and summarize all tasks in the 'concept' stage for Part333.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""task""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""concept""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Part333""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Summarize all 'blocker' severity tickets from the 'Engineering' rev organization.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]},{""argument_name"": ""ticket.severity"", ""argument_value"": [""blocker""]}, {""argument_name"": ""ticket.rev_orgs"", ""argument_value"": [""Engineering""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Identify and summarize all tickets related to 'Hardware Maintenance' part coming through 'Phone Support'.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]},{""argument_name"": ""ticket.source_channel"", ""argument_value"": [""Phone Support""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Hardware Maintenance""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"Retrieve and summarize all tickets related to the ""Lambda Initiative"" that are of low severity.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""low""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Lambda Initiative""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Prioritize all tickets in 'Data Science' rev organization marked as 'blocker' severity.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]},{""argument_name"": ""ticket.severity"", ""argument_value"": [""blocker""]}, {""argument_name"": ""ticket.rev_orgs"", ""argument_value"": [""Data Science""]}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""List all tickets from the part 'Internal Communications' that need a response.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]},{""argument_name"": ""ticket.needs_response"", ""argument_value"": true}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Internal Communications""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Summarize all 'blocker' severity tickets from rev organization 'Software Engineering'.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]},{""argument_name"": ""ticket.severity"", ""argument_value"": [""blocker""]}, {""argument_name"": ""issue.rev_orgs"", ""argument_value"": [""Software Engineering""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"Retrieve and prioritize tickets from the ""Customer Feedback"" source channel.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.source_channel"", ""argument_value"": [""Customer Feedback""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]
"
